,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.267263889,0.034489114,0.047995281,0.009310651,0.1,FALSE,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False}",0.987427466,0.991295938,0.985486212,0.962747944,0.958393807,0.977070273,0.013670468,1
4,0.274051046,0.016597714,0.049976969,0.014427388,0.08,FALSE,"{'classifier__alpha': 0.08, 'classifier__fit_prior': False}",0.987427466,0.991779497,0.985486212,0.962747944,0.957910015,0.977070227,0.013904714,2
8,0.241542959,0.010710738,0.041510868,0.012195881,0.15,FALSE,"{'classifier__alpha': 0.15, 'classifier__fit_prior': False}",0.987427466,0.991295938,0.985002419,0.962747944,0.957910015,0.976876756,0.013744943,3
2,0.242374229,0.009040506,0.049666452,0.015044813,0.03,FALSE,"{'classifier__alpha': 0.03, 'classifier__fit_prior': False}",0.986943907,0.991295938,0.984518626,0.962264151,0.957426222,0.976489769,0.013847464,4
10,0.244227505,0.01306047,0.0444067,0.007631571,0.25,FALSE,"{'classifier__alpha': 0.25, 'classifier__fit_prior': False}",0.987427466,0.991779497,0.984518626,0.961296565,0.956942429,0.976392917,0.014357971,5
12,0.251660728,0.015091078,0.038082027,0.008235044,0.35,FALSE,"{'classifier__alpha': 0.35, 'classifier__fit_prior': False}",0.987427466,0.991779497,0.984034833,0.961296565,0.956942429,0.976296158,0.014304416,6
14,0.242799187,0.007440405,0.042829227,0.006704099,0.5,FALSE,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False}",0.986460348,0.991779497,0.984518626,0.961296565,0.956942429,0.976199493,0.014213806,7
5,0.25157733,0.012126364,0.041755104,0.007345676,0.08,TRUE,"{'classifier__alpha': 0.08, 'classifier__fit_prior': True}",0.986460348,0.991295938,0.985002419,0.957426222,0.960328979,0.976102781,0.014247396,8
0,0.270223093,0.031203413,0.054568958,0.004998077,0.01,FALSE,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False}",0.98549323,0.990812379,0.984518626,0.961780358,0.957426222,0.976006163,0.013632889,9
3,0.243563604,0.017004035,0.042149496,0.008900889,0.03,TRUE,"{'classifier__alpha': 0.03, 'classifier__fit_prior': True}",0.986460348,0.991295938,0.984034833,0.957910015,0.960328979,0.976006023,0.014005509,10
7,0.247649908,0.017805853,0.051943016,0.016645686,0.1,TRUE,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True}",0.986943907,0.991295938,0.985002419,0.956942429,0.959845186,0.976005976,0.014552988,11
1,0.260117102,0.00725594,0.048413229,0.011943955,0.01,TRUE,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True}",0.985009671,0.991295938,0.98355104,0.957910015,0.961296565,0.975812646,0.013530862,12
9,0.243212652,0.019681854,0.047138691,0.018171751,0.15,TRUE,"{'classifier__alpha': 0.15, 'classifier__fit_prior': True}",0.986460348,0.991295938,0.984034833,0.956458636,0.960328979,0.975715747,0.01438739,13
11,0.249051189,0.017830928,0.043605852,0.008718031,0.25,TRUE,"{'classifier__alpha': 0.25, 'classifier__fit_prior': True}",0.985976789,0.991779497,0.983067247,0.956458636,0.959845186,0.975425471,0.014419898,14
13,0.242273283,0.013341401,0.0436903,0.008154644,0.35,TRUE,"{'classifier__alpha': 0.35, 'classifier__fit_prior': True}",0.984526112,0.991295938,0.98355104,0.95549105,0.960328979,0.975038624,0.014319604,15
15,0.257191849,0.024151554,0.039067459,0.007209118,0.5,TRUE,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True}",0.983558994,0.991295938,0.984034833,0.955007257,0.959361393,0.974651683,0.014588429,16
